"","class","gender","age","school","father_edu_background","mother_edu_background","father_job","mother_job","household_income","school_has_library","library_visit","access_to_computer_lab","extra_mural_class","extra_curricular_activities","extra_curricular_participation","hours_on_curricular_activities","english_score","maths_score","hours_spent_studying","difficulty_understand_maths_eng_sci","subject_found_most_difficult","confidence_in_passing_exam","prepare_exam_with_online_resources","challenge_preparing_for_exam","result"
"884","SS3","Female","15-17","Private","University","University","Tailoring","Housewife","₦30,000 – ₦100,000","Yes","Never","Yes","Yes","No","Sports","None","55 - 59","70 - 75","5 hours or more","No","Other","Somewhat confident","Yes","Lack of funds","Yes"
"885","SS3","Male","12-14","Public","Secondary","Primary","Tailoring","Housewife","₦30,000 – ₦100,000","Yes","Daily","No","Yes","No","None","7 hours or more","45 - 49","55 - 59","5 hours or more","No","Mathematics","Not confident","Yes","time management","Yes"
"886","SS2","Female","18 and above","Public","Secondary","Secondary","Civil servant","Housewife","Above ₦300,000","Yes","Weekly","No","Yes","Yes","Science/Math clubs","1–3 hours","60 - 64","65 - 69","5 hours or more","Yes","Physics/Chemistry/Biology","Very confident","Yes","time management","Yes"
"887","SS2","Female","12-14","Private","Primary","University","Civil Servant","Trader","Above ₦300,000","No","Never","No","Yes","No","Sports","4–6 hours","80 - 100","40 - 44","1–2 hours","No","Physics/Chemistry/Biology","Very confident","Yes","time management","Yes"
"888","SS2","Female","18 and above","Private","University","No formal education","Tailoring","Trader","₦30,000 – ₦100,000","Yes","Never","Yes","No","Yes","Sports","None","55 - 59","70 - 75","5 hours or more","No","English Language","Somewhat confident","No","Lack of focus","Yes"
"889","SS3","Male","15-17","Public","University","No formal education","Farmer","Trader","Above ₦300,000","Yes","Weekly","Yes","No","No","Debate/Quiz clubs","1–3 hours","39 below","60 - 64","Less than 1 hour","No","Physics/Chemistry/Biology","Not confident","No","Lack of funds","Yes"
"890","SS3","Male","18 and above","Private","No formal education","University","Civil Servant","House Wife","Above ₦300,000","Yes","Rarely","Yes","No","Yes","None","1–3 hours","60 - 64","50 - 54","3–4 hours","Yes","Physics/Chemistry/Biology","Somewhat confident","No","Lack of funds","Yes"
"891","SS1","Female","18 and above","Private","No formal education","No formal education","Farmer","Housewife","50,000 - 100,000","Yes","Never","Yes","Yes","Yes","Sports","7 hours or more","60 - 64","80 - 100","1–2 hours","Yes","Other","Somewhat confident","Yes","time management","Yes"
"892","SS3","Male","15-17","Public","Primary","No formal education","Farmer","Trader","50,000 - 100,000","No","Daily","Yes","No","Yes","Debate/Quiz clubs","None","60 - 64","80 - 100","3–4 hours","Yes","Physics/Chemistry/Biology","Not confident","No","The fear of the unknown","Yes"
"893","SS1","Female","12-14","Private","Primary","University","Farmer","Teacher","₦30,000 – ₦100,000","No","Never","No","No","Yes","None","7 hours or more","80 - 100","60 - 64","3–4 hours","Yes","Other","Not confident","No","Lack of focus","Yes"
"894","SS1","Female","12-14","Private","Secondary","No formal education","Engineer","Teacher","50,000 - 100,000","Yes","Monthly","Yes","No","Yes","Science/Math clubs","7 hours or more","45 - 49","50 - 54","Less than 1 hour","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","lack of standard social amenity","Yes"
"895","SS1","Female","18 and above","Public","Secondary","Secondary","Civil servant","Trader","Above ₦300,000","No","Monthly","No","No","No","None","1–3 hours","50 - 54","50 - 54","3–4 hours","Yes","Mathematics","Very confident","No","Lack of proper preparation","Yes"
"896","SS1","Male","18 and above","Private","University","University","Civil servant","Trader","50,000 - 100,000","No","Never","No","Yes","Yes","Sports","None","65 - 69","39 below","1–2 hours","Yes","Mathematics","Somewhat confident","Yes","Lack of focus","Yes"
"897","SS2","Male","15-17","Public","Primary","University","Engineer","Teacher","₦100,000 – ₦300,000","No","Daily","No","No","Yes","Debate/Quiz clubs","1–3 hours","45 - 49","60 - 64","1–2 hours","Yes","English Language","Not confident","No","Lack of focus","Yes"
"898","SS2","Male","15-17","Private","Secondary","Secondary","Civil servant","Teacher","₦30,000 – ₦100,000","Yes","Monthly","Yes","No","No","None","1–3 hours","40 - 44","55 - 59","3–4 hours","Yes","Other","Very confident","No","The fear of the unknown","Yes"
"899","SS3","Female","15-17","Private","No formal education","No formal education","Engineer","Trader","50,000 - 100,000","Yes","Weekly","Yes","Yes","Yes","None","None","39 below","70 - 75","5 hours or more","Yes","Other","Somewhat confident","Yes","Lack of focus","Yes"
"900","SS2","Female","12-14","Public","No formal education","Secondary","Farmer","Housewife","₦100,000 – ₦300,000","Yes","Weekly","Yes","No","No","Sports","1–3 hours","70 - 75","65 - 69","3–4 hours","Yes","Other","Very confident","No","Lack of proper preparation","Yes"
"901","SS2","Female","12-14","Public","Primary","University","Civil Servant","Housewife","₦30,000 – ₦100,000","Yes","Daily","Yes","No","No","None","4–6 hours","80 - 100","40 - 44","3–4 hours","No","Other","Somewhat confident","No","Lack of proper preparation","Yes"
"902","SS2","Female","18 and above","Public","Secondary","No formal education","Tailoring","Teacher","Above ₦300,000","No","Rarely","Yes","Yes","Yes","Sports","1–3 hours","80 - 100","40 - 44","5 hours or more","Yes","Other","Very confident","Yes","lack of standard social amenity","Yes"
"903","SS3","Female","15-17","Public","Secondary","Secondary","Farmer","Trader","₦100,000 – ₦300,000","No","Monthly","No","No","Yes","None","7 hours or more","65 - 69","60 - 64","Less than 1 hour","No","English Language","Very confident","No","Lack of proper preparation","Yes"
"904","SS1","Male","12-14","Public","Secondary","No formal education","Civil Servant","Trader","50,000 - 100,000","No","Weekly","Yes","Yes","Yes","None","None","45 - 49","45 - 49","3–4 hours","No","English Language","Somewhat confident","Yes","lack of standard social amenity","No"
"905","SS1","Female","18 and above","Private","Primary","No formal education","Civil Servant","Housewife","Below ₦30,000","Yes","Monthly","Yes","Yes","No","Sports","4–6 hours","39 below","70 - 75","5 hours or more","No","English Language","Somewhat confident","No","Lack of funds","Yes"
"906","SS3","Female","18 and above","Private","University","Primary","Engineer","Trader","₦100,000 – ₦300,000","No","Monthly","No","Yes","Yes","Science/Math clubs","None","39 below","45 - 49","3–4 hours","Yes","Other","Very confident","Yes","The fear of the unknown","No"
"907","SS1","Male","18 and above","Private","Secondary","Primary","Tailoring","House Wife","Above ₦300,000","No","Weekly","Yes","No","Yes","None","7 hours or more","65 - 69","40 - 44","Less than 1 hour","No","Physics/Chemistry/Biology","Not confident","No","time management","Yes"
"908","SS3","Male","15-17","Public","University","University","Tailoring","Teacher","Below ₦30,000","Yes","Daily","Yes","No","No","Debate/Quiz clubs","1–3 hours","60 - 64","60 - 64","Less than 1 hour","No","Mathematics","Not confident","Yes","Lack of focus","Yes"
"909","SS3","Male","12-14","Public","Secondary","Secondary","Tailoring","Teacher","Above ₦300,000","No","Rarely","No","No","No","None","4–6 hours","40 - 44","39 below","5 hours or more","No","Physics/Chemistry/Biology","Somewhat confident","Yes","time management","No"
"910","SS2","Female","12-14","Public","University","Primary","Farmer","House Wife","₦30,000 – ₦100,000","No","Rarely","Yes","No","No","Science/Math clubs","7 hours or more","60 - 64","39 below","1–2 hours","Yes","English Language","Somewhat confident","No","Lack of focus","Yes"
"911","SS1","Female","15-17","Private","Primary","Primary","Tailoring","Teacher","Above ₦300,000","No","Weekly","No","No","No","Sports","None","65 - 69","65 - 69","Less than 1 hour","Yes","Other","Very confident","Yes","Lack of funds","Yes"
"912","SS3","Male","15-17","Public","No formal education","Primary","Farmer","Housewife","Below ₦30,000","Yes","Daily","Yes","No","Yes","None","None","39 below","65 - 69","Less than 1 hour","No","Other","Very confident","No","Lack of proper preparation","Yes"
"913","SS3","Male","15-17","Private","University","No formal education","Civil servant","Housewife","50,000 - 100,000","Yes","Weekly","No","Yes","No","Sports","1–3 hours","39 below","55 - 59","5 hours or more","No","English Language","Not confident","No","lack of standard social amenity","Yes"
"914","SS3","Male","12-14","Public","University","No formal education","Civil Servant","Teacher","50,000 - 100,000","Yes","Rarely","Yes","Yes","Yes","None","7 hours or more","60 - 64","60 - 64","Less than 1 hour","Yes","Other","Somewhat confident","Yes","lack of standard social amenity","Yes"
"915","SS2","Male","18 and above","Public","Secondary","No formal education","Civil servant","Housewife","₦100,000 – ₦300,000","No","Weekly","Yes","Yes","No","Debate/Quiz clubs","1–3 hours","40 - 44","45 - 49","3–4 hours","No","Other","Somewhat confident","No","Lack of focus","No"
"916","SS3","Female","15-17","Private","University","Secondary","Tailoring","House Wife","₦100,000 – ₦300,000","Yes","Monthly","Yes","Yes","Yes","Science/Math clubs","7 hours or more","60 - 64","60 - 64","3–4 hours","No","Other","Not confident","Yes","lack of standard social amenity","Yes"
"917","SS3","Female","15-17","Public","Secondary","Secondary","Civil Servant","Trader","₦100,000 – ₦300,000","No","Daily","Yes","Yes","Yes","Debate/Quiz clubs","1–3 hours","45 - 49","70 - 75","5 hours or more","No","Physics/Chemistry/Biology","Somewhat confident","Yes","lack of standard social amenity","Yes"
"918","SS3","Male","12-14","Public","Secondary","No formal education","Civil Servant","Trader","50,000 - 100,000","Yes","Monthly","Yes","Yes","No","Sports","7 hours or more","55 - 59","45 - 49","1–2 hours","No","Mathematics","Not confident","No","Lack of focus","Yes"
"919","SS1","Male","15-17","Public","No formal education","Secondary","Tailoring","Housewife","₦30,000 – ₦100,000","Yes","Monthly","Yes","No","Yes","Sports","4–6 hours","55 - 59","50 - 54","1–2 hours","No","English Language","Not confident","No","time management","Yes"
"920","SS1","Male","18 and above","Public","University","University","Civil servant","House Wife","₦30,000 – ₦100,000","Yes","Daily","Yes","Yes","No","Sports","1–3 hours","50 - 54","70 - 75","5 hours or more","Yes","English Language","Somewhat confident","No","lack of standard social amenity","Yes"
"921","SS3","Male","15-17","Private","University","No formal education","Engineer","Trader","₦30,000 – ₦100,000","No","Never","No","No","No","Sports","1–3 hours","80 - 100","40 - 44","1–2 hours","No","English Language","Not confident","Yes","Lack of focus","Yes"
"922","SS3","Male","15-17","Public","University","Secondary","Tailoring","Housewife","Below ₦30,000","No","Daily","No","Yes","Yes","None","4–6 hours","65 - 69","45 - 49","5 hours or more","No","Other","Not confident","Yes","The fear of the unknown","Yes"
"923","SS3","Male","15-17","Private","Secondary","Secondary","Civil servant","Housewife","Below ₦30,000","Yes","Weekly","No","Yes","Yes","Science/Math clubs","None","65 - 69","60 - 64","3–4 hours","No","Other","Somewhat confident","Yes","The fear of the unknown","Yes"
"924","SS1","Female","18 and above","Private","University","Secondary","Tailoring","Trader","₦30,000 – ₦100,000","Yes","Weekly","No","Yes","Yes","None","7 hours or more","55 - 59","65 - 69","5 hours or more","No","Physics/Chemistry/Biology","Not confident","No","Lack of funds","Yes"
"925","SS3","Male","18 and above","Private","Primary","Secondary","Civil Servant","Teacher","Below ₦30,000","Yes","Weekly","Yes","No","Yes","Sports","4–6 hours","60 - 64","65 - 69","5 hours or more","No","Physics/Chemistry/Biology","Not confident","No","Lack of funds","Yes"
"926","SS2","Male","15-17","Private","No formal education","Secondary","Civil Servant","Trader","₦100,000 – ₦300,000","No","Never","No","Yes","No","Sports","1–3 hours","39 below","80 - 100","3–4 hours","No","English Language","Very confident","Yes","Lack of proper preparation","Yes"
"927","SS2","Male","15-17","Private","University","Primary","Farmer","Housewife","₦100,000 – ₦300,000","No","Monthly","Yes","Yes","Yes","Sports","None","40 - 44","65 - 69","3–4 hours","Yes","Mathematics","Not confident","No","time management","Yes"
"928","SS2","Male","18 and above","Private","University","University","Civil Servant","Trader","Below ₦30,000","Yes","Monthly","Yes","Yes","No","Debate/Quiz clubs","4–6 hours","40 - 44","45 - 49","5 hours or more","No","Mathematics","Not confident","No","Lack of funds","No"
"929","SS2","Female","15-17","Private","University","Secondary","Civil Servant","Trader","Above ₦300,000","No","Never","No","No","Yes","Debate/Quiz clubs","4–6 hours","70 - 75","80 - 100","5 hours or more","No","Other","Not confident","Yes","time management","Yes"
"930","SS2","Male","12-14","Public","Secondary","Secondary","Civil servant","Trader","50,000 - 100,000","No","Weekly","Yes","No","Yes","Sports","1–3 hours","40 - 44","70 - 75","1–2 hours","Yes","Physics/Chemistry/Biology","Somewhat confident","No","Lack of funds","Yes"
"931","SS3","Female","12-14","Private","University","No formal education","Engineer","Trader","Above ₦300,000","No","Weekly","Yes","Yes","Yes","Science/Math clubs","7 hours or more","60 - 64","55 - 59","3–4 hours","Yes","Other","Very confident","Yes","The fear of the unknown","Yes"
"932","SS3","Female","18 and above","Public","University","University","Farmer","Trader","Below ₦30,000","Yes","Daily","Yes","Yes","No","None","None","50 - 54","60 - 64","Less than 1 hour","No","Other","Somewhat confident","Yes","time management","Yes"
"933","SS3","Male","12-14","Public","No formal education","Primary","Civil Servant","Trader","Above ₦300,000","Yes","Rarely","Yes","No","Yes","Debate/Quiz clubs","1–3 hours","55 - 59","65 - 69","3–4 hours","No","Mathematics","Very confident","No","Lack of proper preparation","Yes"
"934","SS3","Male","18 and above","Public","Primary","No formal education","Tailoring","Trader","50,000 - 100,000","Yes","Daily","No","No","No","Science/Math clubs","None","65 - 69","39 below","5 hours or more","No","Mathematics","Somewhat confident","Yes","Lack of funds","Yes"
"935","SS2","Male","18 and above","Private","University","University","Tailoring","Trader","Above ₦300,000","No","Monthly","No","No","Yes","Sports","4–6 hours","80 - 100","39 below","Less than 1 hour","Yes","Physics/Chemistry/Biology","Not confident","Yes","lack of standard social amenity","Yes"
"936","SS2","Female","18 and above","Private","University","No formal education","Farmer","House Wife","₦30,000 – ₦100,000","No","Daily","No","Yes","No","Debate/Quiz clubs","None","80 - 100","65 - 69","3–4 hours","No","Mathematics","Somewhat confident","No","lack of standard social amenity","Yes"
"937","SS2","Male","12-14","Public","Primary","Secondary","Civil Servant","Housewife","Above ₦300,000","Yes","Weekly","No","Yes","Yes","Science/Math clubs","None","40 - 44","45 - 49","1–2 hours","Yes","Other","Somewhat confident","No","Lack of proper preparation","No"
"938","SS3","Female","12-14","Private","Primary","University","Farmer","House Wife","Below ₦30,000","No","Rarely","No","No","No","Sports","7 hours or more","39 below","50 - 54","5 hours or more","No","Other","Very confident","Yes","lack of standard social amenity","Yes"
"939","SS1","Male","18 and above","Private","Primary","Secondary","Civil Servant","Teacher","Below ₦30,000","Yes","Rarely","No","Yes","Yes","Sports","1–3 hours","65 - 69","40 - 44","1–2 hours","Yes","Other","Somewhat confident","Yes","time management","Yes"
"940","SS1","Male","18 and above","Public","University","Primary","Engineer","Trader","Above ₦300,000","Yes","Monthly","Yes","Yes","No","Debate/Quiz clubs","7 hours or more","80 - 100","55 - 59","3–4 hours","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","time management","Yes"
"941","SS2","Female","18 and above","Public","University","No formal education","Farmer","Trader","Above ₦300,000","No","Daily","No","Yes","Yes","Debate/Quiz clubs","None","39 below","70 - 75","Less than 1 hour","No","Physics/Chemistry/Biology","Very confident","No","The fear of the unknown","Yes"
"942","SS2","Female","18 and above","Private","University","University","Farmer","Trader","₦30,000 – ₦100,000","No","Rarely","No","No","No","Debate/Quiz clubs","None","40 - 44","45 - 49","5 hours or more","No","Other","Somewhat confident","No","lack of standard social amenity","No"
"943","SS2","Male","12-14","Private","University","Secondary","Civil Servant","Housewife","₦30,000 – ₦100,000","Yes","Monthly","No","Yes","No","Science/Math clubs","7 hours or more","50 - 54","39 below","5 hours or more","Yes","Other","Somewhat confident","Yes","Lack of funds","Yes"
"944","SS1","Male","18 and above","Private","University","University","Civil Servant","Teacher","Below ₦30,000","No","Never","No","Yes","No","None","None","50 - 54","70 - 75","1–2 hours","Yes","Other","Very confident","Yes","lack of standard social amenity","Yes"
"945","SS3","Female","18 and above","Public","University","Secondary","Civil Servant","House Wife","50,000 - 100,000","Yes","Weekly","No","Yes","Yes","Science/Math clubs","None","45 - 49","65 - 69","3–4 hours","No","Other","Very confident","No","lack of standard social amenity","Yes"
"946","SS2","Female","18 and above","Public","Secondary","Primary","Engineer","Housewife","50,000 - 100,000","Yes","Never","No","No","No","Sports","None","80 - 100","80 - 100","5 hours or more","Yes","English Language","Somewhat confident","No","lack of standard social amenity","Yes"
"947","SS3","Female","18 and above","Public","Primary","University","Tailoring","House Wife","₦100,000 – ₦300,000","Yes","Never","No","No","Yes","Sports","None","45 - 49","40 - 44","1–2 hours","Yes","English Language","Very confident","No","Lack of funds","No"
"948","SS3","Female","15-17","Public","Primary","No formal education","Civil servant","Trader","50,000 - 100,000","Yes","Never","No","No","No","Debate/Quiz clubs","4–6 hours","39 below","80 - 100","1–2 hours","Yes","Other","Not confident","No","Lack of focus","Yes"
"949","SS1","Female","12-14","Private","Secondary","Primary","Farmer","Trader","₦100,000 – ₦300,000","No","Never","Yes","Yes","Yes","Science/Math clubs","4–6 hours","65 - 69","65 - 69","5 hours or more","No","Mathematics","Very confident","No","lack of standard social amenity","Yes"
"950","SS3","Female","18 and above","Private","Secondary","No formal education","Civil Servant","Housewife","50,000 - 100,000","No","Never","No","Yes","Yes","Debate/Quiz clubs","7 hours or more","50 - 54","80 - 100","Less than 1 hour","Yes","Other","Very confident","No","Lack of funds","Yes"
"951","SS1","Female","12-14","Public","University","No formal education","Tailoring","House Wife","Below ₦30,000","No","Monthly","No","No","Yes","None","None","55 - 59","80 - 100","1–2 hours","Yes","Mathematics","Very confident","Yes","Lack of focus","Yes"
"952","SS1","Female","12-14","Private","Secondary","University","Civil Servant","Trader","₦100,000 – ₦300,000","Yes","Rarely","No","No","No","Debate/Quiz clubs","7 hours or more","60 - 64","50 - 54","Less than 1 hour","No","English Language","Not confident","Yes","Lack of focus","Yes"
"953","SS2","Male","12-14","Private","Secondary","Primary","Civil servant","Housewife","₦100,000 – ₦300,000","Yes","Weekly","No","Yes","No","Debate/Quiz clubs","1–3 hours","50 - 54","45 - 49","Less than 1 hour","No","English Language","Very confident","Yes","lack of standard social amenity","Yes"
"954","SS2","Female","15-17","Public","University","No formal education","Engineer","Trader","Above ₦300,000","Yes","Monthly","Yes","No","No","Debate/Quiz clubs","4–6 hours","70 - 75","39 below","1–2 hours","No","Other","Somewhat confident","Yes","Lack of focus","Yes"
"955","SS2","Male","18 and above","Private","Primary","Primary","Tailoring","Teacher","₦30,000 – ₦100,000","Yes","Daily","Yes","Yes","Yes","Sports","4–6 hours","65 - 69","55 - 59","Less than 1 hour","Yes","Physics/Chemistry/Biology","Not confident","Yes","lack of standard social amenity","Yes"
"956","SS2","Male","15-17","Private","Secondary","University","Civil servant","Trader","Above ₦300,000","No","Daily","Yes","No","No","Sports","7 hours or more","39 below","45 - 49","5 hours or more","Yes","Mathematics","Not confident","No","time management","No"
"957","SS2","Female","18 and above","Private","No formal education","No formal education","Farmer","Trader","Above ₦300,000","Yes","Weekly","No","No","No","Debate/Quiz clubs","1–3 hours","70 - 75","55 - 59","3–4 hours","Yes","English Language","Somewhat confident","Yes","Lack of funds","Yes"
"958","SS1","Male","12-14","Private","No formal education","Primary","Engineer","Trader","₦30,000 – ₦100,000","Yes","Daily","No","Yes","Yes","None","7 hours or more","45 - 49","39 below","Less than 1 hour","Yes","Mathematics","Very confident","No","Lack of proper preparation","No"
"959","SS3","Female","18 and above","Public","University","No formal education","Tailoring","Housewife","Above ₦300,000","No","Rarely","No","No","Yes","Debate/Quiz clubs","7 hours or more","70 - 75","39 below","5 hours or more","No","Physics/Chemistry/Biology","Not confident","Yes","Lack of funds","Yes"
"960","SS1","Female","18 and above","Public","Primary","No formal education","Farmer","Housewife","₦30,000 – ₦100,000","Yes","Weekly","Yes","No","No","Sports","4–6 hours","40 - 44","65 - 69","3–4 hours","No","Physics/Chemistry/Biology","Very confident","No","The fear of the unknown","Yes"
"961","SS2","Male","15-17","Public","No formal education","University","Tailoring","Trader","50,000 - 100,000","Yes","Never","Yes","Yes","No","Sports","None","70 - 75","40 - 44","5 hours or more","Yes","Mathematics","Not confident","Yes","The fear of the unknown","Yes"
"962","SS1","Female","12-14","Private","Secondary","University","Engineer","House Wife","50,000 - 100,000","No","Daily","Yes","Yes","Yes","None","7 hours or more","70 - 75","39 below","3–4 hours","No","Other","Not confident","Yes","The fear of the unknown","Yes"
"963","SS1","Male","12-14","Public","Secondary","University","Civil servant","Trader","₦100,000 – ₦300,000","No","Rarely","Yes","No","Yes","Science/Math clubs","None","70 - 75","70 - 75","Less than 1 hour","No","Other","Not confident","No","Lack of proper preparation","Yes"
"964","SS3","Male","12-14","Public","Secondary","Secondary","Tailoring","Teacher","Above ₦300,000","No","Monthly","Yes","No","No","Debate/Quiz clubs","None","45 - 49","50 - 54","5 hours or more","No","English Language","Very confident","No","Lack of focus","Yes"
"965","SS3","Female","12-14","Private","Primary","Primary","Engineer","House Wife","₦30,000 – ₦100,000","Yes","Daily","Yes","No","Yes","Science/Math clubs","1–3 hours","39 below","45 - 49","Less than 1 hour","Yes","Physics/Chemistry/Biology","Very confident","No","Lack of proper preparation","No"
"966","SS3","Male","18 and above","Public","Primary","Secondary","Tailoring","Housewife","50,000 - 100,000","No","Rarely","Yes","No","No","None","1–3 hours","80 - 100","55 - 59","Less than 1 hour","Yes","English Language","Very confident","No","time management","Yes"
"967","SS1","Female","12-14","Public","No formal education","Secondary","Engineer","Housewife","50,000 - 100,000","No","Monthly","Yes","No","Yes","Science/Math clubs","1–3 hours","39 below","80 - 100","1–2 hours","Yes","Physics/Chemistry/Biology","Very confident","Yes","Lack of proper preparation","Yes"
"968","SS2","Male","18 and above","Private","No formal education","No formal education","Civil Servant","House Wife","₦100,000 – ₦300,000","Yes","Weekly","Yes","No","Yes","None","4–6 hours","39 below","60 - 64","Less than 1 hour","Yes","Other","Somewhat confident","Yes","Lack of funds","Yes"
"969","SS3","Male","18 and above","Private","Secondary","Primary","Farmer","Teacher","Below ₦30,000","Yes","Rarely","No","Yes","Yes","Sports","4–6 hours","55 - 59","80 - 100","1–2 hours","No","Other","Very confident","Yes","Lack of funds","Yes"
"970","SS2","Female","15-17","Private","Primary","Primary","Tailoring","Trader","50,000 - 100,000","No","Weekly","No","No","Yes","Debate/Quiz clubs","4–6 hours","60 - 64","80 - 100","1–2 hours","No","Mathematics","Somewhat confident","Yes","lack of standard social amenity","Yes"
"971","SS1","Male","18 and above","Public","University","No formal education","Civil Servant","Housewife","₦100,000 – ₦300,000","No","Weekly","Yes","No","Yes","Science/Math clubs","1–3 hours","45 - 49","55 - 59","Less than 1 hour","Yes","Other","Somewhat confident","No","Lack of funds","Yes"
"972","SS2","Male","15-17","Public","Primary","Primary","Civil Servant","Teacher","Above ₦300,000","Yes","Monthly","Yes","Yes","Yes","None","4–6 hours","70 - 75","40 - 44","Less than 1 hour","Yes","Physics/Chemistry/Biology","Not confident","No","lack of standard social amenity","Yes"
"973","SS1","Male","18 and above","Private","University","University","Tailoring","House Wife","Above ₦300,000","Yes","Daily","No","No","Yes","None","4–6 hours","70 - 75","39 below","1–2 hours","Yes","English Language","Not confident","Yes","time management","Yes"
"974","SS3","Male","12-14","Public","Primary","Primary","Civil Servant","Teacher","50,000 - 100,000","Yes","Rarely","No","Yes","No","Debate/Quiz clubs","4–6 hours","40 - 44","55 - 59","1–2 hours","No","Physics/Chemistry/Biology","Somewhat confident","No","lack of standard social amenity","Yes"
"975","SS1","Male","15-17","Public","Secondary","No formal education","Tailoring","Trader","₦100,000 – ₦300,000","Yes","Rarely","No","No","No","Debate/Quiz clubs","None","55 - 59","55 - 59","1–2 hours","No","Other","Not confident","Yes","Lack of proper preparation","Yes"
"976","SS2","Male","15-17","Public","University","Secondary","Farmer","Trader","50,000 - 100,000","Yes","Never","Yes","No","Yes","Sports","1–3 hours","60 - 64","39 below","Less than 1 hour","No","English Language","Not confident","Yes","Lack of focus","Yes"
"977","SS1","Female","18 and above","Private","No formal education","Primary","Farmer","Trader","Below ₦30,000","Yes","Daily","Yes","Yes","No","Debate/Quiz clubs","None","65 - 69","50 - 54","1–2 hours","No","Physics/Chemistry/Biology","Not confident","No","lack of standard social amenity","Yes"
"978","SS1","Male","18 and above","Public","University","No formal education","Farmer","Teacher","Below ₦30,000","Yes","Never","Yes","No","No","Science/Math clubs","4–6 hours","80 - 100","80 - 100","5 hours or more","No","Physics/Chemistry/Biology","Not confident","No","Lack of funds","Yes"
"979","SS2","Female","18 and above","Private","University","Secondary","Civil Servant","Trader","Above ₦300,000","No","Rarely","No","Yes","Yes","Sports","7 hours or more","40 - 44","70 - 75","Less than 1 hour","No","Physics/Chemistry/Biology","Very confident","No","Lack of funds","Yes"
"980","SS3","Male","18 and above","Private","No formal education","Secondary","Civil servant","Trader","Below ₦30,000","No","Monthly","Yes","No","No","None","1–3 hours","65 - 69","40 - 44","3–4 hours","Yes","Physics/Chemistry/Biology","Very confident","No","time management","Yes"
"981","SS1","Male","18 and above","Public","No formal education","University","Farmer","House Wife","₦100,000 – ₦300,000","No","Weekly","Yes","Yes","No","None","7 hours or more","65 - 69","50 - 54","Less than 1 hour","No","Physics/Chemistry/Biology","Not confident","No","Lack of proper preparation","Yes"
"982","SS3","Male","18 and above","Private","University","No formal education","Engineer","House Wife","Above ₦300,000","Yes","Daily","Yes","Yes","Yes","Debate/Quiz clubs","7 hours or more","50 - 54","45 - 49","Less than 1 hour","No","Physics/Chemistry/Biology","Very confident","Yes","The fear of the unknown","Yes"
"983","SS3","Female","12-14","Private","No formal education","University","Farmer","Teacher","₦100,000 – ₦300,000","Yes","Never","No","No","No","None","4–6 hours","50 - 54","55 - 59","3–4 hours","Yes","Other","Somewhat confident","No","Lack of funds","Yes"
"984","SS2","Male","18 and above","Public","University","Primary","Farmer","House Wife","₦30,000 – ₦100,000","Yes","Never","Yes","No","No","Debate/Quiz clubs","1–3 hours","55 - 59","40 - 44","1–2 hours","Yes","English Language","Somewhat confident","Yes","The fear of the unknown","Yes"
"985","SS2","Male","12-14","Public","No formal education","No formal education","Engineer","House Wife","₦30,000 – ₦100,000","Yes","Daily","Yes","No","No","Science/Math clubs","1–3 hours","40 - 44","39 below","1–2 hours","No","Other","Very confident","Yes","Lack of proper preparation","No"
"986","SS3","Female","15-17","Public","Secondary","Primary","Tailoring","Trader","₦100,000 – ₦300,000","No","Daily","No","Yes","No","Science/Math clubs","None","65 - 69","45 - 49","1–2 hours","No","Other","Not confident","Yes","lack of standard social amenity","Yes"
"987","SS2","Female","18 and above","Private","Secondary","University","Civil servant","Trader","Below ₦30,000","Yes","Daily","Yes","No","Yes","Sports","None","70 - 75","70 - 75","5 hours or more","No","Mathematics","Not confident","No","time management","Yes"
"988","SS3","Female","12-14","Private","Secondary","Primary","Engineer","Housewife","50,000 - 100,000","Yes","Weekly","Yes","Yes","Yes","Debate/Quiz clubs","4–6 hours","50 - 54","80 - 100","1–2 hours","No","Other","Very confident","No","The fear of the unknown","Yes"
"989","SS3","Male","15-17","Public","No formal education","Primary","Tailoring","Trader","₦30,000 – ₦100,000","Yes","Daily","Yes","Yes","Yes","Debate/Quiz clubs","7 hours or more","45 - 49","40 - 44","1–2 hours","Yes","Mathematics","Very confident","Yes","Lack of focus","No"
"990","SS2","Female","15-17","Private","University","No formal education","Civil Servant","Housewife","Below ₦30,000","Yes","Weekly","No","Yes","No","Science/Math clubs","7 hours or more","65 - 69","70 - 75","Less than 1 hour","Yes","English Language","Not confident","No","lack of standard social amenity","Yes"
"991","SS2","Male","12-14","Public","Secondary","University","Tailoring","House Wife","Below ₦30,000","No","Rarely","No","Yes","No","Debate/Quiz clubs","4–6 hours","80 - 100","45 - 49","3–4 hours","Yes","Mathematics","Not confident","Yes","Lack of funds","Yes"
"992","SS1","Male","18 and above","Public","Secondary","University","Engineer","Trader","Below ₦30,000","Yes","Never","No","No","Yes","None","7 hours or more","80 - 100","45 - 49","Less than 1 hour","No","English Language","Somewhat confident","No","Lack of proper preparation","Yes"
